1	-60	4.2046	925.25	0
1	-57	0.44025	925.75	2
1	-55.5	5.5975	920.25	2
2	-55.5	1.0922	924.75	1
3	-61.5	6.1114	922.25	2
1	-56	0.061359	922.75	2
1	-59	5.0882	924.25	0
2	-47.5	2.2427	924.75	3
1	-60.5	2.4436	920.25	0
1	-59	1.8346	922.75	2
3	-65.5	5.1373	923.25	0
1	-56	5.6358	920.25	2
1	-56	5.9196	923.25	2
1	-59	0.61819	922.25	0
1	-57.5	1.0799	925.25	2
1	-61	0.41111	925.75	0
1	-67	0.75318	920.25	0
4	-56	0.39577	920.75	0
3	-61.5	0.28225	921.75	2
1	-56	5.1803	920.75	2
1	-56	5.5591	923.75	2
1	-57	4.6342	924.75	2
4	-56	0.72864	920.25	0
1	-63.5	0.67955	924.25	0
1	-57	1.7411	921.75	0
1	-56.5	5.01	924.25	2
4	-58	1.511	925.75	0
1	-67	0.72864	922.25	1
4	-56	0.18101	920.75	0
1	-56	0.55837	922.25	2
2	-55.5	0.42645	920.75	1
1	-59	0.2301	922.75	0
1	-55.5	5.1281	920.75	2
2	-55.5	5.1143	921.75	1
1	-56.5	5.013	924.25	2
3	-61	5.6358	923.25	2
1	-56.5	1.4818	925.25	0
1	-59	5.4963	923.75	0
3	-62	1.0216	920.75	2
1	-61	0.41111	925.75	0
1	-55.5	5.125	920.75	2
4	-56.5	0.2485	923.75	0
4	-56	0.25464	920.75	0
1	-55.5	4.7078	921.25	2
1	-63.5	4.3381	923.75	0
3	-61	5.6312	923.25	2
1	-57.5	1.1474	925.25	2
1	-56.5	1.5263	924.75	2
1	-57	1.7411	921.75	0
1	-56.5	4.9701	924.25	2
4	-56	0.39577	920.75	0
1	-57	1.491	924.75	2
1	-59	0.83142	922.25	0
1	-56	0.047553	922.75	2
4	-56	0.39577	920.75	0
3	-54.5	1.0492	921.75	2
3	-54.5	1.0492	921.75	2
1	-59	0.65348	922.25	0
1	-56.5	5.0836	924.25	2
1	-60.5	3.749	925.75	0
1	-60	1.9926	920.75	0
1	-66	4.108	920.25	0
1	-57	0.46326	925.75	2
3	-63.5	0.74551	925.75	0
1	-56	5.8859	923.25	2
1	-56.5	0.16414	922.75	2
4	-56	0.78847	920.25	0
1	-58	0.97408	925.25	2
3	-61.5	6.2111	922.25	2
2	-56	0.17334	920.75	1
4	-56	0.21629	920.75	0
1	-57	0.44485	925.75	2
1	-65	5.912	921.75	0
1	-58	0.97408	925.25	2
3	-62	6.2525	922.25	2
1	-55.5	5.145	920.75	2
1	-58.5	0.92346	922.25	0
3	-61.5	0.37429	921.75	2
4	-56	0.73938	920.25	0
1	-57	1.445	924.75	2
2	-55.5	0.27305	920.25	1
3	-62	2.1921	923.75	2
1	-60	1.0646	925.25	0
4	-56	4.4961	920.25	3
1	-58	1.0216	925.25	2
1	-64.5	5.958	921.75	0
1	-58.5	0.54763	925.75	2
1	-60	5.8966	925.25	0
3	-65	6.1957	922.25	0
1	-57	0.48781	925.75	2
